Date,Day,Time started,Time ended,Hours,Breaks,Notes of that day,Total Hours,
5/2/2023,Su,1.5,6.5,5,1,Sorted out the administration of insight dynamics for 21/22,|,
6/2/2023,Mo,11,15,4,,Sorted out the administration of wild for 21/22,|,
7/2/2023,Tu,12,16,4,,Worked on apartment Evergem,|,
8/2/2023,Wed,12,15,3,,"Finished apartment Evergem, prepared apartment Mechelen",|,
9/2/2023,Thu,,,0,,,|,
10/2/2023,Fr,10,15.5,5.5,0.5,Administrative tasks,|,
11/2/2023,Sat,,,0,,,|,
12/2/2023,Su,,,0,,,V,
Week,Subtotal hrs,--------------->,------------------->,21.5,1.5,Hours - Breaks=,20,<-------------------
13-02-23,Mo,,,0,,,,
14-02-23,Tu,14,16,2,,Reviewed payments Insight Dynamics,,
15-02-23,Wed,16,17,1,,Reviewed payments Insight Dynamics,,
16-02-23,Thu,19,21,2,,,,
17-02-23,Fr,,,0,,,,
18-02-23,Sat,,,0,,,,
19-02-23,Su,,,0,,,,
Week,Subtotal hrs,--------------->,------------------->,5,0,Hours - Breaks=,5,<-------------------
20-02-23,Mo,,,0,,,,
21-02-23,Tu,,,0,,,,
22-02-23,Wed,,,0,,,,
23-02-23,Thu,,,0,,,,
24-02-23,Fr,,,0,,,,
25-02-23,Sat,,,0,,,,
26-02-23,Su,,,0,,,,
Week,Subtotal hrs,--------------->,------------------->,0,0,Hours - Breaks=,0,<-------------------
,,,,,,,---------------------,
,,,,,,Total hours,25,
